import time: self [us] | cumulative | imported package
import time:       514 |      81119 |                       django.core.serializers.base
import time:       248 |      81366 |                     django.core.serializers
import time:       224 |        224 |                     django.core.serializers.python
import time:       260 |      81849 |                   django.core.serializers.json
import time:       783 |      87496 |                 django.http.response
import time:       199 |     109880 |               django.http
import time:       194 |     110074 |             django.urls.exceptions
import time:       253 |        253 |               django.urls.converters
import time:       169 |        169 |               django.urls.utils
import time:       701 |       1122 |             django.urls.resolvers
import time:       450 |     117357 |           django.urls.base
import time:       177 |        177 |           django.urls.conf
import time:       255 |     117788 |         django.urls
import time:       810 |        810 |             logging.handlers
import time:       725 |        725 |             socketserver
import time:      1412 |       2946 |           logging.config
import time:       549 |        549 |               email.generator
import time:      2174 |       2174 |                 email._header_value_parser
import time:       640 |       2814 |               email.headerregistry
import time:       135 |        135 |                 email.mime
import time:       303 |        303 |                   email.contentmanager
import time:       381 |        684 |                 email.policy
import time:       263 |       1080 |               email.mime.base
import time:       143 |        143 |                 email.mime.nonmultipart
import time:       168 |        311 |               email.mime.message
import time:       140 |        140 |               email.mime.multipart
import time:       144 |        144 |               email.mime.text
import time:       153 |        153 |               django.core.mail.utils
import time:       585 |       5773 |             django.core.mail.message
import time:       209 |       5982 |           django.core.mail
import time:       175 |        175 |                   django.utils.termcolors
import time:        90 |         90 |                   colorama
import time:       224 |        488 |                 django.core.management.color
import time:       535 |       1022 |               django.core.management.base
import time:       347 |       1368 |             django.core.management
import time:        25 |       1393 |           django.core.management.color
import time:       441 |      10759 |         django.utils.log
import time:       237 |        237 |                   django.template.response
import time:       211 |        211 |                   django.utils.decorators
import time:       366 |        813 |                 django.views.generic.base
import time:       248 |        248 |                   django.views.generic.detail
import time:       451 |        451 |                     django.core.paginator
import time:       293 |        744 |                   django.views.generic.list
import time:       882 |       1872 |                 django.views.generic.dates
import time:       518 |        518 |                 django.views.generic.edit
import time:       248 |       3450 |               django.views.generic
import time:        23 |       3473 |             django.views.generic.base
import time:       137 |       3610 |           django.views
import time:       681 |        681 |                 dataclasses
import time:       444 |       1125 |               pprint
import time:       848 |        848 |               django.utils.timesince
import time:       638 |       2609 |             django.template.defaultfilters
import time:       140 |        140 |               django.views.decorators
import time:       218 |        357 |             django.views.decorators.debug
import time:       203 |        203 |               django.utils.lorem_ipsum
import time:       381 |        381 |               django.template.smartif
import time:      1102 |       1686 |             django.template.defaulttags
import time:      1900 |       6551 |           django.views.debug
import time:       227 |      10386 |         django.core.handlers.exception
import time:       358 |     142256 |       django.core.handlers.base
import time:       553 |     208859 |     django.core.handlers.wsgi
import time:       339 |     233206 |   django.core.wsgi
import time:      1736 |       1736 |       dotenv.parser
import time:       431 |        431 |       dotenv.variables
import time:      1706 |       3873 |     dotenv.main
import time:       198 |       4070 |   dotenv
import time:       540 |        540 |   dj_database_url
import time:       201 |        201 |   django.contrib.admin.decorators
import time:       322 |        322 |     django.contrib.admin.exceptions
import time:       108 |        108 |           django.contrib.messages.constants
import time:       139 |        139 |           django.contrib.messages.storage
import time:       262 |        507 |         django.contrib.messages.api
import time:       118 |        118 |           django.contrib.messages.utils
import time:       366 |        484 |         django.contrib.messages.storage.base
import time:       167 |       1157 |       django.contrib.messages
import time:       425 |        425 |         django.contrib.admin.utils
import time:       630 |       1054 |       django.contrib.admin.helpers
import time:       892 |        892 |       django.contrib.admin.widgets
import time:       508 |        508 |       django.contrib.admin.checks
import time:       130 |        130 |         django.contrib.admin.templatetags
import time:       282 |        411 |       django.contrib.admin.templatetags.admin_urls
import time:       116 |        116 |           django.middleware
import time:       245 |        245 |           django.utils.cache
import time:       521 |        881 |         django.middleware.csrf
import time:       186 |        186 |         django.contrib.auth.signals
import time:       267 |       1333 |       django.contrib.auth
import time:       194 |        194 |       django.views.decorators.csrf
import time:      1268 |       6813 |     django.contrib.admin.options
import time:       560 |       7694 |   django.contrib.admin.filters
import time:       258 |        258 |     django.contrib.admin.actions
import time:       125 |        125 |       django.contrib.admin.views
import time:       260 |        384 |     django.contrib.admin.views.autocomplete
import time:       171 |        171 |       django.shortcuts
import time:       172 |        342 |     django.contrib.auth.decorators
import time:       219 |        219 |       django.middleware.cache
import time:       159 |        378 |     django.views.decorators.cache
import time:       112 |        112 |     django.views.decorators.common
import time:       232 |        232 |     django.views.i18n
import time:       511 |       2214 |   django.contrib.admin.sites
import time:       188 |        188 |       getpass
import time:       139 |        139 |         django.contrib.contenttypes
import time:       426 |        426 |             django.db.migrations.utils
import time:       280 |        280 |             django.db.migrations.exceptions
import time:       283 |        987 |           django.db.migrations.migration
import time:       352 |        352 |               django.db.migrations.operations.base
import time:       354 |        706 |             django.db.migrations.operations.fields
import time:       555 |        555 |               django.db.migrations.state
import time:       760 |       1315 |             django.db.migrations.operations.models
import time:       245 |        245 |             django.db.migrations.operations.special
import time:       184 |       2448 |           django.db.migrations.operations
import time:       142 |       3576 |         django.db.migrations
import time:       262 |       3976 |       django.contrib.contenttypes.management
import time:       183 |       4346 |     django.contrib.auth.management
import time:       174 |       4519 |   django.contrib.auth.checks
import time:       135 |        135 |   django.contrib.contenttypes.checks
import time:       132 |        132 |       django.contrib.staticfiles.utils
import time:       398 |        529 |     django.contrib.staticfiles.finders
import time:       130 |        659 |   django.contrib.staticfiles.checks
import time:       806 |        806 |   django.contrib.contenttypes.models
import time:       332 |        332 |     django.contrib.auth.password_validation
import time:      1244 |       1244 |     django.contrib.auth.hashers
import time:       164 |        164 |       django.db.backends.base.validation
import time:       122 |        122 |       django.db.backends.signals
import time:       120 |        120 |       django.utils.asyncio
import time:       596 |       1001 |     django.db.backends.base.base
import time:        79 |         79 |     psycopg
import time:       146 |        146 |         psycopg2.errors
import time:      6669 |       6814 |       psycopg2._psycopg
import time:       187 |        187 |         psycopg2._json
import time:       902 |        902 |         psycopg2._range
import time:       451 |       1539 |       psycopg2.extensions
import time:       229 |       8581 |     psycopg2
